epoch,split,loss,acc,bal_acc,precision0,recall0,f1_0,precision1,recall1,f1_1,pos_rate_train,pos_weight,cached_on_gpu,amp
1,train,0.2094335071780076,0.7962649284933211,0.7963165298749497,0.730788514891199,0.9378834026854275,0.8214849327421657,0.9134074871426863,0.6547496570644719,0.7627465667915106,0.7429618988400266,0.3459640443325043,1,1
1,val,0.22105809165162565,0.7166464155528554,0.7915561773526663,0.4704616120545324,0.9434052757793765,0.6278327481646984,0.9708570017288219,0.639707078925956,0.7712379831273298,0.7429618988400266,0.3459640443325043,1,1
2,train,0.17260721467221135,0.8326507858230237,0.8320025404480369,0.7644232396034244,0.9640266279764445,0.8526997187989507,0.9506613601779235,0.6999784529196293,0.8062842818495445,0.7429618988400266,0.3459640443325043,1,1
2,val,0.19900169689774078,0.7656136087484812,0.8297340646603953,0.5202808112324493,0.9597122302158273,0.6747597369752149,0.9808394160583942,0.6997558991049634,0.8167917181118816,0.7429618988400266,0.3459640443325043,1,1
3,train,0.20416077918069983,0.8615750766525869,0.8616000936952717,0.852247496962842,0.874146006101491,0.8630578652638724,0.871354532677442,0.8490541812890525,0.8600598257250618,0.7429618988400266,0.3459640443325043,1,1
3,val,0.16512945510202595,0.8512758201701094,0.8571523903741125,0.6558089033659066,0.8690647482014389,0.7475247524752476,0.9500640204865557,0.845240032546786,0.8945918015845676,0.7429618988400266,0.3459640443325043,1,1
4,train,0.16765509491679767,0.8563434035892707,0.8572001230856321,0.8016641508044623,0.9431281673669164,0.8666613596561057,0.9325906150528802,0.7712720788043478,0.8442946781315361,0.7429618988400266,0.3459640443325043,1,1
4,val,0.17160350512328443,0.8170109356014581,0.8560717902488424,0.5871725383920506,0.935251798561151,0.7214206437291897,0.9724994907313098,0.7768917819365337,0.8637597249864302,0.7429618988400266,0.3459640443325043,1,1
5,train,0.17954309974487576,0.8285555007611656,0.8296817513070969,0.7612740351362567,0.9526962693672639,0.8462957979316443,0.9383287253850928,0.7066672332469298,0.8061857669187512,0.7429618988400266,0.3459640443325043,1,1
5,val,0.20419159720981106,0.7687727825030377,0.8285223407929474,0.5240868184224458,0.9496402877697842,0.6754221388367729,0.9764150943396226,0.7074043938161106,0.8204208738322166,0.7429618988400266,0.3459640443325043,1,1
6,train,0.16744807021841643,0.8576513218550998,0.8577576832223379,0.8043351122158052,0.9447855394787686,0.8689214002250785,0.9333022146154245,0.7707298269659072,0.8442609491191442,0.7429618988400266,0.3459640443325043,1,1
6,val,0.17598943130213898,0.8080194410692588,0.8503675172148693,0.5742865548690791,0.93621103117506,0.711889132020423,0.9724694680190437,0.7645240032546786,0.8560495626822158,0.7429618988400266,0.3459640443325043,1,1
